title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-12-27,21935.347083333,50.068926243,77.038340300,105.209878668,50.803499311,64.318409722,20.037840856,0,0.000000000,0
2015-12-28,23419.287500000,61.716340057,86.829527371,94.003395188,48.440280201,88.102745896,20.057754745,0,0.000000000,0
2015-12-29,28966.422916667,95.348757120,96.423075950,90.924783785,51.572162952,89.432484533,23.762146354,0,0.000000000,0
2015-12-30,30643.975416667,85.655743168,96.279910979,89.567966972,44.787527873,63.236934975,31.876861458,0,0.000000000,0
2015-12-31,32434.340833333,96.689243769,93.559674995,87.227495939,34.534693994,68.379454545,18.981442998,0,0.000000000,0
2016-01-01,22720.139583333,101.919816421,82.214619502,94.412359940,39.685275410,27.312552715,6.051424132,0,0.000000000,0
2016-01-02,11953.368333333,101.428927205,70.420813445,99.768713851,46.496661274,12.238531250,4.511924421,0,0.000000000,0
2016-01-03,17762.604583333,53.654599687,76.368735370,104.508272426,46.059214105,11.347835859,8.857079456,0,0.000000000,0
2016-01-04,32327.552083333,68.738861923,86.334856689,98.097347235,57.264032915,51.298347538,13.527128299,0,0.000000000,0
2016-01-05,30453.889166667,68.875811899,86.633185786,98.026082172,71.338541102,32.525533144,30.210355613,0,0.000000000,0
2016-01-06,32048.020416667,58.097222708,90.746370678,88.047956672,45.682756500,66.769623422,28.144000752,0,0.000000000,0
2016-01-07,32632.864166667,96.293226110,88.406451583,90.432239052,74.098083947,76.597836490,32.514927141,0,0.000000000,0
2016-01-08,32389.149583333,96.055488041,90.907847869,95.508740484,62.748816785,46.839085227,36.656156713,0,0.000000000,0.000000000
2016-01-09,31537.170000000,77.301829424,71.532275196,92.120283045,57.152471317,22.639256944,46.143492824,0,0.000000000,0
2016-01-10,30817.030833333,55.110802416,56.072699811,93.686577012,57.652617010,43.745476010,52.400530440,0,0.000000000,0
2016-01-11,29834.375833333,80.121528278,85.386703930,91.446560330,66.878549527,63.425609848,29.645952431,0,0.000000000,0.000000000
2016-01-12,19832.395416667,98.545843959,86.878363702,91.948742958,61.998703655,67.744791982,20.770209838,0,0.000000000,0.000000000
2016-01-13,19595.521250000,101.077418157,82.042429023,92.995455977,81.972567969,71.942515467,22.821704745,0,0.000000000,0.000000000
2016-01-14,32125.625000000,103.108750456,81.873910292,90.173895287,81.830993336,58.494511048,15.307712905,0,0.000000000,0.000000000
2016-01-15,31336.441250000,98.153303461,86.525622319,87.738861852,81.601265977,68.664439394,8.639416088,0,0.000000000,0.000000000
2016-01-16,28923.628333333,100.887364413,87.667503748,102.507980736,70.698491469,46.361549558,9.661336169,0,0.000000000,0
2016-01-17,23156.058750000,88.683627948,90.093028081,105.319789748,58.968025588,15.731779672,5.314303588,0,0.000000000,0
2016-01-18,22459.895833333,68.092200362,82.897447505,104.438158235,65.122936952,30.827055871,5.569614815,0,0.000000000,0
2016-01-19,26515.590833333,83.147506614,81.098298846,92.468709535,76.968486714,53.430643308,7.596074421,0,0.000000000,0.000000000
2016-01-20,31671.336666667,104.324571439,84.096265951,94.295507293,86.325051018,37.444532513,11.714567245,0,0.000000000,0
2016-01-21,21692.517500000,105.526932304,90.347789090,99.205328530,83.572467692,29.518238321,13.987808623,0,0.000000000,0.000000000
2016-01-22,26360.346666667,100.851793153,89.939896729,98.041246007,86.172820670,51.920174242,11.127935301,0,0.000000000,0.000000000
2016-01-23,26431.267500000,101.668272958,89.876600265,102.938042075,78.804200305,61.057659722,5.921678877,0,0.000000000,0
2016-01-24,19833.992916667,86.568970174,80.357127699,100.731482940,82.500390589,44.183431818,5.049987095,0,0.000000000,0
2016-01-25,17763.558750000,93.055404258,82.426831959,95.334502511,84.415922498,64.634785354,10.967425521,0,0.000000000,0
2016-01-26,21829.496666667,105.683508491,92.760992169,95.622809838,85.676772755,81.027743056,16.857320602,0,0.000000000,0.000000000
2016-01-27,31660.729166667,104.405436684,85.843173349,87.641812661,86.270130026,26.744564394,23.445569734,0,0.000000000,0.000000000
2016-01-28,30551.805416667,90.496782079,87.397709717,101.739899902,82.603143727,34.286563763,23.454169965,0,0.000000000,0.000000000
2016-01-29,22623.975000000,77.258565087,89.244374928,97.253674349,80.761665355,34.190060290,22.797968113,0,0.000000000,0.000000000
2016-01-30,8704.513750000,67.412085115,90.102514142,96.405058122,83.193632334,18.230972538,15.180777315,0,0.000000000,0
2016-01-31,7656.007083333,81.455854867,84.134229492,104.757884079,83.100842706,20.805486111,17.150485359,0,0.000000000,0
---------
