,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-12-11,7.582575,7.28513021,1.19631987,0.0,,,5.12656957,8.52307557,5.63481636,,0.0,4.17170667,3.49475735
2015-12-12,5.48995606,5.8753,1.73807246,0.0,,,4.42339273,8.33491589,9.31493567,,0.0,5.73532895,5.69642241
2015-12-13,8.24672727,5.47843812,1.60077755,0.0,,,1.69860763,8.48362847,8.34335691,,0.0,7.33350247,4.18669423
2015-12-14,3.31267181,5.07605449,1.56443339,0.0,,,0.57798795,6.90874061,4.82834479,,0.0,3.5049315,3.80137727
2015-12-15,6.59809074,3.2200589,2.84447593,0.0,,,0.99851786,5.636745,6.71295444,,0.0,2.63136519,4.01098085
2015-12-16,3.85729028,5.83889486,1.30454224,0.0,,,0.93339709,6.17990992,7.54567608,,0.0,3.50321829,3.64445564
2015-12-17,7.62034933,8.06594878,1.24244027,0.0,,,0.25577644,4.80753671,7.22542839,,0.0,2.65184871,3.73045425
2015-12-18,9.72056893,6.04173557,1.32419125,0.0,,,5.5148451,5.23287956,6.74252944,,0.0,5.90884183,4.6555345
2015-12-19,14.45070259,7.87507965,1.27672174,0.0,,,6.82713125,6.85825698,8.11321298,,0.0,3.74313837,4.92144512
2015-12-20,8.84692897,5.34205361,1.26491832,0.0,,,7.52838485,6.72537913,9.41646697,,0.0,4.52567034,2.41605319
2015-12-21,14.70383049,5.35280059,1.94654575,0.0,,,5.69849333,6.18255208,6.85357967,,0.0,6.2273125,3.546453
2015-12-22,10.59410237,6.03074182,1.99021764,0.0,,,9.344432,5.29719557,5.80499992,,0.0,6.36899363,7.70722001
2015-12-23,12.65105105,3.56999179,1.84672863,0.0,,,6.81767955,5.10218596,5.88134958,,0.0,5.78649246,5.20181654
2015-12-24,12.02527386,4.78111348,0.97982657,0.0,,,10.13073043,5.93405345,5.4323372,,0.0,5.25013382,5.85559303
2015-12-25,14.64410878,5.93331122,0.95792397,0.0,,,14.85668235,9.17542156,10.24695824,,0.0,5.46671063,6.87251554
2015-12-26,9.50467543,7.6661053,0.94757255,0.0,,,10.76044091,3.05679892,7.35141941,,0.0,4.76051092,5.23392907
2015-12-27,10.69191274,6.04706543,1.63255948,0.0,,,11.54081667,3.13246231,7.98708496,,0.0,2.40248786,4.45793069
